"photo-13279251_299077936";"http://cs407321.vk.me/v407321826/71e2/MUduLVpjDUY.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Черный";"Reebok Easytone";1200;"RP10003";" 36-40";"Черный";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077953";"http://cs407321.vk.me/v407321826/722a/51Qh3qH2soM.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Серый+Красный";"Reebok Easytone";1200;"RP10003";" 36-40";"Серый+Красный";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077959";"http://cs407321.vk.me/v407321826/724a/VnS1z2Ndrf0.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Белый+Бирюзовый";"Reebok Easytone";1200;"RP10003";" 36-40";"Белый+Бирюзовый";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077934";"http://cs407321.vk.me/v407321826/71da/BXtp_rowBp8.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Белый+Золотой";"Reebok Easytone";1200;"RP10003";" 36-40";"Белый+Золотой";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077952";"http://cs407321.vk.me/v407321826/7222/sqHooNn91bQ.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Белый+Красный";"Reebok Easytone";1200;"RP10003";" 36-40";"Белый+Красный";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077945";"http://cs407321.vk.me/v407321826/720a/KFBxSZixeeE.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Белый+Фиолетовый";"Reebok Easytone";1200;"RP10003";" 36-40";"Белый+Фиолетовый";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077930";"http://cs407321.vk.me/v407321826/71c2/B74kW1QKXb8.jpg";"Reebok Easytone<br/>Цена: 1200 грн.<br/>Размеры: 36-40<br/>Материал: кожа, текстиль<br/>Подошва: резина, пена<br/>Сезон: весна, лето, осень<br/>RP10003<br/>Белый+Синий";"Reebok Easytone";1200;"RP10003";" 36-40";"Белый+Синий";"<h1>Reebok Easytone</h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина, пена<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_364168781";"http://cs540103.vk.me/c540101/v540101826/4dfc7/G5W-0NYrDSA.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Белый";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_364168779";"http://cs540103.vk.me/c540101/v540101826/4dfc0/NoHW7H6DozY.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Белый";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_364168783";"http://cs540103.vk.me/c540101/v540101826/4dfd6/SyKZmlp8vT0.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Белый";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
